sample	embed method	median completeness	median purity	mean completeness	mean purity	num. clusters	num. contigs
FL2014_3	bhsne	51.79856115107914	99.23664122137406	60.392001359542284	97.96503359175684	127	52671
FL2014_3	umap	51.79856115107914	99.23664122137406	60.392001359542284	97.96503359175684	127	52671
FL2014_9	bhsne	53.237410071942456	98.4375	59.09384851669226	97.23410453809049	178	95369
FL2014_9	umap	53.237410071942456	98.4375	59.09384851669226	97.23410453809049	178	95369
FL2015_30	bhsne	67.62589928057554	98.55072463768116	62.0706912730685	97.92561872481234	115	70310
FL2015_30	umap	67.62589928057554	98.55072463768116	62.0706912730685	97.92561872481234	115	70310
FL2015_34	bhsne	41.00719424460432	98.79500580720092	49.57826841974696	97.79935794011774	174	92103
FL2015_34	umap	41.00719424460432	98.79500580720092	49.57826841974696	97.79935794011774	174	92103
FL2015_37	bhsne	39.568345323741006	90.9090909090909	39.568345323741006	90.9090909090909	1	3224
FL2015_37	umap	39.568345323741006	90.9090909090909	39.568345323741006	90.9090909090909	1	3224
FL2015_42	bhsne	56.834532374100725	98.38709677419355	63.72045220966085	96.78029796322669	7	10069
FL2015_42	umap	56.834532374100725	98.38709677419355	63.72045220966085	96.78029796322669	7	10069
FL2015_43	bhsne	46.762589928057544	94.06779661016951	57.45118191161357	94.13632347628167	7	9345
FL2015_43	umap	46.762589928057544	94.06779661016951	57.45118191161357	94.13632347628167	7	9345
FL2015_44	bhsne	83.45323741007195	97.03703703703702	73.6810551558753	96.7752239260014	12	7441
FL2015_44	umap	83.45323741007195	97.03703703703702	73.6810551558753	96.7752239260014	12	7441
FL2015_5	bhsne	94.9640287769784	93.93939393939394	94.9640287769784	93.93939393939394	1	5425
FL2015_5	umap	94.9640287769784	93.93939393939394	94.9640287769784	93.93939393939394	1	5425
FL2015_8	bhsne	37.05035971223022	98.83326549993217	50.52321778940484	97.57289495305226	44	22564
FL2015_8	umap	37.05035971223022	98.83326549993217	50.52321778940484	97.57289495305226	44	22564
FL2015_9	umap	35.97122302158273	98.36710210610505	43.625099920063946	97.13911656477336	144	84540
